,Unnamed: 0,2012.0,0,1,int_id
1792,42415.0,21.650758006805404,40.75254,-73.94514000000001,42415
1801,42499.0,24.478586782534922,40.71483,-73.97674,42499
1813,42709.0,0.6030491852696961,40.88708,-73.90414,42709
1818,42796.0,0.4180006699160572,40.82647,-73.95055,42796
1822,42869.0,5.997498707540349,40.714420000000004,-73.97646999999999,42869
1856,43365.0,0.5869388068002386,40.84894,-73.93914000000001,43365
1857,43376.0,0.9401542778789838,40.84894,-73.93706999999999,43376
1860,43402.0,0.2828380850515153,40.74579,-73.88549,43402
1867,43489.0,0.5066351938389417,40.706920000000004,-73.93970999999999,43489
1871,43657.0,0.4697210141445087,40.74224,-73.90535,43657
1874,43723.0,73.96327721790139,40.71478,-73.97655,43723
1882,43811.0,0.3872258481863622,40.7313,-73.95783,43811
1888,43885.0,1.81412676906012,40.82653,-73.94666,43885
1897,44061.0,0.40919333767404203,40.7947,-73.93636,44061
1898,44069.0,0.26468578945247057,40.83328,-73.93915,44069
1902,44188.0,0.33339538692999904,40.7197,-73.97798,44188
1913,44412.0,0.26497390218172145,40.74723,-73.88778,44412
1920,44585.0,0.3489268075344347,40.87961,-73.91449,44585
1927,44797.0,0.6908709080520221,40.79225,-73.94418,44797
1932,44877.0,0.7427046472149108,40.84802,-73.94044,44877
1941,45049.0,2.023583513178397,40.769709999999996,-73.91634,45049
1944,45107.0,0.4227262413154933,40.82073,-73.95448,45107
1949,45183.0,7.253072413401671,40.85232,-73.93878000000001,45183
1950,45214.0,1.2459967341213023,40.745709999999995,-73.95048,45214
1951,45215.0,4.666104176390207,40.716440000000006,-73.98158000000001,45215
1952,45232.0,0.3354752478982537,40.815690000000004,-73.95829,45232
1954,45266.0,1.2689142899435577,40.718109999999996,-73.97688000000001,45266
1963,4544.0,3.940045571975999,40.69604,-73.98263,4544
1979,45640.0,0.5201546277747899,40.71932,-73.97907,45640
1981,45691.0,0.9743027329986528,40.72231,-73.94109,45691
1992,46036.0,2.454194481783234,40.71452,-73.97681,46036
1993,46047.0,0.5054685772797058,40.79025,-73.94564,46047
2001,46237.0,0.6413589059199138,40.86527,-73.92775999999999,46237
2005,46324.0,0.3840019572476503,40.772040000000004,-73.913,46324
2011,46397.0,0.2901441164464391,40.77053,-73.91755,46397
2027,46671.0,13.93198425668978,40.79978,-73.93265,46671
2053,47178.0,1.1504009166424851,40.7066,-73.94309,47178
2074,47697.0,0.3304477461236737,40.71987,-73.97879,47697
2076,47721.0,0.5680278048095297,40.84839,-73.93767,47721
2080,47836.0,0.8320981436509152,40.70986,-73.96695,47836
2085,4798.0,1.4431642425275903,40.7499,-73.94238,4798
2091,48048.0,0.7773104096479355,40.721990000000005,-73.9415,48048
2094,48053.0,1.9179920132186583,40.7208,-73.94495,48053
2100,48095.0,1.1742976225363706,40.82523,-73.94761,48095
2116,48471.0,3.3118097398651365,40.794740000000004,-73.93242,48471
2178,49653.0,0.2881634040725549,40.85678,-73.93368000000001,49653
2185,49818.0,0.7982840851593822,40.75635,-73.91341,49818
2188,49833.0,0.3300996733365145,40.702890000000004,-73.94422,49833
2198,50052.0,0.473900577569965,40.8172,-73.93636,50052
2218,50444.0,20.76912730864997,40.79541,-73.93193000000001,50444
2220,50500.0,1.4031728244914063,40.7216,-73.94099,50500
2221,50513.0,0.5664044266996884,40.71832,-73.97521,50513
2224,50557.0,6.604438798063911,40.83917,-73.94346,50557
2242,50906.0,3.238341350888171,40.71123,-73.98478,50906
2245,50930.0,2.3383670805756784,40.8259,-73.94712,50930
2246,50987.0,0.39931394326182623,40.74435,-73.95106,50987
2276,51401.0,1.125418434000304,40.85543,-73.93087,51401
2291,51564.0,0.455840762275929,40.71183,-73.96672,51564
2296,51619.0,3.7358111187753713,40.70112,-73.98678000000001,51619
2304,51921.0,7.771704927788871,40.71393,-73.96714,51921
2305,51925.0,0.5187671992449105,40.821979999999996,-73.95357,51925
2315,52090.0,0.4520517680468663,40.8208,-73.95443,52090
2328,52369.0,7.843825426359113,40.74223,-73.95153,52369
2346,52698.0,0.3650954339859973,40.849990000000005,-73.93865,52698
2347,52716.0,0.4027885751393645,40.74432,-73.95094,52716
2348,52720.0,0.2981884728609121,40.708940000000005,-73.94176,52720
2352,52741.0,1.3112826748100934,40.7219,-73.94103,52741
2359,52852.0,0.4581770818788025,40.7421,-73.90445,52852
2374,53119.0,1.7837130193955557,40.7124,-73.96781999999999,53119
2378,53169.0,0.265807523854239,40.79821,-73.95237,53169
2386,53281.0,0.2632225458055455,40.71821,-73.97821,53281
2387,53313.0,0.964015853734688,40.86508,-73.92811,53313
2419,53768.0,2.5958267340244467,40.71223,-73.9679,53768
2431,54059.0,0.8687037936785049,40.699659999999994,-73.99569,54059
2437,54149.0,0.7180791701375111,40.74199,-73.95411999999999,54149
2441,54213.0,0.5714029808468082,40.86553,-73.92727,54213
2463,54541.0,15.757475682219866,40.76316,-73.99977,54541
2465,54566.0,0.5848191640338247,40.84857,-73.93749,54566
2474,54688.0,0.530477933659321,40.74366,-73.95129,54688
2478,54699.0,0.8571868666247318,40.79688,-73.94398000000001,54699
2485,54788.0,2.4583601877988666,40.714240000000004,-73.97661,54788
2486,54794.0,1.6171214557088869,40.72168,-73.9448,54794
