int_id,2011change,2012change,2013change,y,x,2010.0,2011.0,2012.0,2013.0
1084.0,0.1046510260252631,,0.17070684662222035,40.751670000000004,-73.94187,1023.0,1026.0,1349.0,1218.0
10854.0,,1.4475730118562895,1.0786805003860152,40.716570000000004,-73.95269,1946.0,2081.0,2511.0,3044.0
10856.0,,,20.436636809886956,40.789840000000005,-73.95826,847.0,1009.0,1904.0,1274.0
10867.0,0.3091218574793688,0.197533977019273,,40.834720000000004,-73.94452,4282.0,5368.0,6171.0,5790.0
10892.0,,,0.7566213517086968,40.70981,-73.99184,712.0,704.0,1280.0,769.0
10900.0,0.13123181604231537,,0.1860456036843714,40.749159999999996,-73.86941999999999,1361.0,1409.0,1461.0,1338.0
10904.0,,0.7503372939564441,,40.669090000000004,-73.80144,154.0,827.0,141.0,104.0
10917.0,0.1478642194489015,0.5090407163079704,,40.672779999999996,-73.9709,2205.0,2423.0,2808.0,2458.0
1092.0,,0.46428946362478496,,40.68977,-73.9771,1064.0,1154.0,915.0,950.0
10923.0,0.2957135388531438,0.37489824470890376,,40.67184,-73.98738,2492.0,2889.0,3374.0,3260.0
10947.0,0.13345811018807097,0.4226103534622454,,40.77683,-73.91169000000001,2459.0,2719.0,3181.0,2936.0
1097.0,0.18619689509273352,,0.13162534464503417,40.75703,-73.93812,536.0,357.0,402.0,202.0
1099.0,,,1.7269631699374797,40.79354,-73.94726999999999,783.0,1071.0,1746.0,1386.0
11002.0,1.3119728963103783,1.4554711702799978,,40.81272,-73.94547,1929.0,2336.0,3142.0,2924.0
11017.0,,36.85739513474722,,40.71139,-74.00425,1943.0,1869.0,2806.0,2148.0
11026.0,,1.0647522091791597,0.23017297148948335,40.6716,-73.99877,127.0,1121.0,429.0,88.0
1104.0,1.0977277311696931,0.9679465862000143,,40.773070000000004,-73.94445999999999,1530.0,1409.0,1069.0,987.0
11048.0,,,6.258046471264865,40.68087,-73.99888,2218.0,2284.0,1963.0,2090.0
11060.0,0.20149798182673417,,,40.711209999999994,-74.00338,1290.0,1292.0,2104.0,1638.0
11071.0,,1.3837091636797805,1.3494329261317808,40.71667,-73.95205,2017.0,2147.0,2654.0,3521.0
11075.0,0.09986619424454668,,,40.723490000000005,-73.8539,439.0,353.0,381.0,385.0
11080.0,,0.1894641116340865,,40.847559999999994,-73.93804,3761.0,4141.0,4676.0,4590.0
11091.0,0.1414902669014273,,,40.7421,-73.95889,570.0,454.0,813.0,758.0
1111.0,,,0.3482371579938024,40.84984,-73.94230999999999,319.0,553.0,1063.0,744.0
11119.0,0.10388961977336941,0.6529923776313802,0.16038813388214956,40.712070000000004,-73.99695,2390.0,2616.0,3212.0,3318.0
1112.0,0.15849527355385273,,,40.7327,-73.86787,646.0,526.0,701.0,563.0
11120.0,,0.1711654414173731,,40.66917,-73.9863,3753.0,3797.0,4229.0,4178.0
11121.0,0.3412518923717227,0.28056881166917713,,40.7168,-73.94305,3399.0,4207.0,4971.0,4581.0
